	EF1	EF2	EH1	EH2
Cluster-181.0	0	0	4	7
Cluster-182.0	0	0	6	5
Cluster-183.0	0	0	11	4
Cluster-184.0	0	0	9	7
Cluster-185.0	0	0	10	5
Cluster-186.0	0	0	22	21
Cluster-187.0	0	0	15	12
Cluster-187.1	8	3	20	13
Cluster-188.0	0	0	11	8
Cluster-189.0	0	2	10	21
Cluster-189.1	30	27	460	275
Cluster-190.0	0	0	9	2
Cluster-191.0	0	0	6	9
Cluster-192.0	0	0	8	10
Cluster-193.0	0	0	25	21
Cluster-194.0	0	0	7	4
Cluster-195.0	0	0	15	8
Cluster-196.0	0	0	20	19
Cluster-197.0	0	0	9	4
Cluster-198.0	0	0	30	9
Cluster-199.0	0	0	10	3
Cluster-200.0	0	0	17	2
Cluster-201.0	0	0	12	3
Cluster-202.0	0	0	33	30
Cluster-203.0	0	0	11	4
Cluster-203.1	2	0	30	24
Cluster-204.0	0	0	8	5
Cluster-205.0	0	0	11	3
Cluster-206.0	0	0	9	2
Cluster-207.0	0	0	9	4
Cluster-208.0	0	0	9	4
Cluster-209.0	0	0	9	6
Cluster-210.0	0	0	8	3
Cluster-211.0	0	0	6	6
Cluster-212.0	0	0	27	18
Cluster-213.0	1	0	146	113
Cluster-214.0	0	0	7	4
Cluster-215.0	0	0	9	6
Cluster-216.0	0	0	10	8
Cluster-217.0	0	0	8	3
Cluster-218.0	0	0	9	4
Cluster-219.0	0	0	52	20
Cluster-220.0	0	0	7	6
Cluster-221.0	0	0	110	87
Cluster-222.0	0	0	4	8
Cluster-223.0	0	0	5	6
Cluster-224.0	0	0	26	20
Cluster-225.0	0	0	10	2
Cluster-226.0	0	0	7	5
Cluster-227.0	0	0	5	8
Cluster-228.0	0	0	16	7
Cluster-229.0	0	6	67	51
Cluster-230.0	0	0	9	5
Cluster-231.0	0	0	6	6
Cluster-232.0	0	0	7	4
Cluster-233.0	0	0	34	22
Cluster-234.0	0	0	6	7
Cluster-235.0	0	0	4	7
Cluster-236.0	0	0	10	7
Cluster-237.0	0	0	9	4
Cluster-238.0	0	0	6	9
Cluster-239.0	0	1	17	7
Cluster-240.0	0	0	10	15
Cluster-241.0	0	0	7	6
Cluster-242.0	0	0	8	5
Cluster-242.1	0	0	29	55
Cluster-243.0	0	0	5	7
Cluster-244.0	0	0	20	29
Cluster-245.0	0	0	6	4
Cluster-245.1	0	0	15	12
Cluster-245.2	3	0	31	24
Cluster-246.0	0	0	8	8
Cluster-247.0	0	0	10	3
Cluster-248.0	0	0	8	3
Cluster-249.0	0	0	34	12
Cluster-250.0	0	0	7	4
Cluster-251.0	0	0	18	11
Cluster-252.0	0	0	7	7
Cluster-253.0	0	0	6	8
Cluster-254.0	0	0	12	12
Cluster-255.0	0	0	16	9
Cluster-256.0	0	0	18	19
Cluster-257.0	0	0	27	19
Cluster-258.0	0	0	9	3
Cluster-259.0	0	0	12	3
Cluster-260.0	0	0	8	3
Cluster-261.0	0	0	45	34
Cluster-262.0	0	0	8	5
Cluster-263.0	0	0	62	45
Cluster-264.0	0	0	7	4
Cluster-265.0	0	0	9	6
Cluster-266.0	0	0	17	11
Cluster-267.0	0	0	38	23
Cluster-268.0	0	0	11	11
Cluster-269.0	0	0	5	6
Cluster-270.0	0	0	16	12
Cluster-271.0	0	0	8	4
Cluster-272.0	0	0	9	6
Cluster-273.0	0	0	7	12
Cluster-274.0	0	0	9	6
Cluster-275.0	0	0	27	19
Cluster-276.0	0	0	12	5
Cluster-277.0	0	0	6	5
Cluster-278.0	0	0	11	4
Cluster-279.0	0	0	11	4
Cluster-280.0	0	0	92	108
Cluster-281.0	0	0	11	4
Cluster-282.0	0	0	6	7
Cluster-283.0	0	0	13	5
Cluster-284.0	0	1	4	6
Cluster-285.0	0	1	8	8
Cluster-286.0	0	1	7	3
Cluster-287.0	0	1	6	4
Cluster-288.0	0	1	5	5
Cluster-289.0	0	1	5	7
Cluster-290.0	0	1	7	5
Cluster-291.0	4	7	13	13
Cluster-292.0	0	1	13	4
Cluster-293.0	0	1	10	2
Cluster-294.0	0	1	10	3
Cluster-295.0	0	2	4	5
Cluster-296.0	0	1	7	6
Cluster-297.0	0	1	7	3
Cluster-298.0	0	1	5	5
Cluster-299.0	0	2	8	4
Cluster-300.0	0	1	8	5
Cluster-301.0	1	2	17	7
Cluster-301.1	3	5	51	31
Cluster-301.2	3	2	70	31
Cluster-302.0	0	1	31	25
Cluster-303.0	0	1	9	12
Cluster-304.0	0	1	4	6
Cluster-305.0	0	1	67	63
Cluster-306.0	0	1	6	4
Cluster-307.0	0	1	3	8
Cluster-308.0	0	1	41	14
