	EF1	EF2	EH1	EH2
Cluster-3323.0	3	1	9	4
Cluster-3324.0	3	4	5	2
Cluster-3325.0	1	2	4	7
Cluster-3326.0	1	4	4	4
Cluster-3327.0	1	5	1	4
Cluster-3328.0	3	1	5	3
Cluster-3329.0	2	1	9	4
Cluster-3330.0	2	6	6	2
Cluster-3331.0	1	1	9	4
Cluster-3332.0	2	6	1	9
Cluster-3333.0	1	2	6	5
Cluster-3334.0	3	5	7	8
Cluster-3335.0	2	11	11	14
Cluster-3336.0	1	2	5	3
Cluster-3337.0	1	4	3	9
Cluster-3338.0	1	2	6	4
Cluster-3339.0	1	4	6	1
Cluster-3340.0	3	1	4	3
Cluster-3341.0	1	3	10	6
Cluster-3342.0	2	2	2	5
Cluster-3343.0	2	1	5	6
Cluster-3344.0	30	41	74	42
Cluster-3345.0	3	0	6	2
Cluster-3346.0	2	1	10	6
Cluster-3347.0	1	1	3	5
Cluster-3347.1	3	3	1	3
Cluster-3348.0	2	4	1	4
Cluster-3349.0	4	7	10	8
Cluster-3350.0	2	2	3	2
Cluster-3350.1	15	7	29	30
Cluster-3351.0	2	5	7	6
Cluster-3352.0	1	5	13	15
Cluster-3353.0	2	1	2	7
Cluster-3354.0	2	3	3	9
Cluster-3355.0	2	2	6	2
Cluster-3356.0	1	2	5	3
Cluster-3357.0	2	2	5	5
Cluster-3358.0	2	4	6	10
Cluster-3359.0	1	2	17	9
Cluster-3360.0	2	4	9	3
Cluster-3361.0	1	2	5	3
Cluster-3362.0	4	11	6	6
Cluster-3362.1	3	4	6	7
Cluster-3363.0	2	5	5	1
Cluster-3364.0	40	31	61	57
Cluster-3365.0	2	1	6	4
Cluster-3366.0	2	4	5	1
Cluster-3367.0	2	5	9	7
Cluster-3368.0	1	2	9	8
Cluster-3369.0	2	3	2	4
Cluster-3370.0	3	4	3	2
Cluster-3371.0	2	2	3	10
Cluster-3372.0	7	12	7	14
Cluster-3373.0	3	1	7	1
Cluster-3374.0	1	1	5	5
Cluster-3375.0	4	3	5	6
Cluster-3376.0	1	3	10	6
Cluster-3377.0	1	3	7	2
Cluster-3378.0	1	5	8	9
Cluster-3379.0	1	4	7	2
Cluster-3380.0	2	3	3	5
Cluster-3381.0	2	4	4	2
Cluster-3382.0	4	7	6	2
Cluster-3383.0	2	2	2	5
Cluster-3384.0	1	5	8	1
Cluster-3385.0	3	2	8	6
Cluster-3386.0	1	7	5	3
Cluster-3387.0	2	3	5	5
Cluster-3388.0	1	2	4	4
Cluster-3389.0	1	1	7	2
Cluster-3390.0	1	4	5	7
Cluster-3391.0	3	3	12	10
Cluster-3392.0	1	4	5	2
Cluster-3393.0	15	12	30	20
Cluster-3394.0	1	1	5	7
Cluster-3395.0	2	3	11	3
Cluster-3396.0	1	2	7	6
Cluster-3397.0	1	2	6	5
Cluster-3398.0	1	0	5	5
Cluster-3399.0	1	2	4	4
Cluster-3400.0	2	3	7	7
Cluster-3401.0	2	1	4	4
Cluster-3402.0	2	2	7	1
Cluster-3403.0	1	1	7	2
Cluster-3404.0	5	3	7	7
Cluster-3405.0	1	4	4	2
Cluster-3406.0	1	2	4	5
Cluster-3407.0	2	6	8	2
Cluster-3408.0	3	1	6	10
Cluster-3409.0	1	0	18	3
Cluster-3410.0	1	2	2	6
Cluster-3411.0	1	0	4	6
Cluster-3412.0	2	2	13	5
Cluster-3413.0	2	3	4	3
Cluster-3414.0	1	3	4	3
Cluster-3415.0	2	6	20	18
Cluster-3416.0	2	1	6	3
Cluster-3417.0	1	1	1	9
Cluster-3418.0	2	1	6	3
Cluster-3419.0	3	11	11	10
Cluster-3420.0	2	1	9	3
Cluster-3421.0	1	4	5	9
Cluster-3422.0	2	2	3	5
Cluster-3423.0	1	1	6	4
Cluster-3424.0	1	4	2	4
Cluster-3425.0	1	2	6	6
Cluster-3426.0	14	24	32	21
Cluster-3427.0	2	2	5	2
Cluster-3428.0	1	3	8	2
Cluster-3429.0	2	2	10	4
Cluster-3430.0	2	2	5	4
Cluster-3431.0	2	3	7	2
Cluster-3432.0	2	9	3	9
Cluster-3433.0	2	4	2	6
Cluster-3434.0	2	3	5	6
Cluster-3435.0	2	1	5	10
Cluster-3436.0	1	3	6	2
Cluster-3437.0	2	3	3	8
Cluster-3438.0	2	4	4	9
Cluster-3439.0	1	3	5	4
Cluster-3440.0	3	4	3	3
Cluster-3441.0	2	4	10	7
Cluster-3442.0	2	4	4	6
Cluster-3443.0	1	5	3	7
Cluster-3444.0	2	4	15	8
Cluster-3445.0	2	1	5	3
Cluster-3446.0	1	1	8	1
Cluster-3447.0	2	3	8	4
Cluster-3448.0	2	4	2	3
Cluster-3449.0	2	6	4	2
Cluster-3450.0	4	2	3	5
Cluster-3451.0	2	3	4	4
Cluster-3452.0	3	1	5	6
Cluster-3453.0	1	0	6	5
Cluster-3454.0	1	1	6	3
Cluster-3455.0	1	4	5	5
Cluster-3456.0	2	4	7	8
Cluster-3457.0	1	2	6	2
Cluster-3458.0	1	8	2	2
Cluster-3459.0	2	6	4	7
Cluster-3460.0	2	1	4	4
Cluster-3461.0	56	68	53	48
Cluster-3462.0	2	6	5	4
Cluster-3463.0	1	6	7	4
Cluster-3464.0	4	4	6	5
Cluster-3465.0	1	1	5	4
Cluster-3466.0	1	1	4	9
Cluster-3467.0	2	2	6	4
Cluster-3468.0	1	1	11	4
Cluster-3469.0	1	1	5	7
Cluster-3470.0	3	4	8	6
Cluster-3471.0	2	3	3	4
Cluster-3472.0	1	6	4	3
Cluster-3473.0	1	6	1	3
Cluster-3474.0	1	2	5	7
Cluster-3475.0	1	2	6	2
Cluster-3476.0	3	2	4	2
Cluster-3477.0	1	8	3	5
Cluster-3478.0	1	3	3	8
Cluster-3479.0	2	2	9	2
Cluster-3480.0	2	4	3	7
Cluster-3481.0	1	1	4	5
Cluster-3482.0	1	3	3	6
Cluster-3483.0	2	1	6	5
Cluster-3484.0	2	1	5	4
Cluster-3485.0	1	0	4	6
Cluster-3486.0	2	1	4	4
Cluster-3487.0	7	7	10	4
Cluster-3488.0	7	7	13	9
Cluster-3489.0	1	6	4	5
Cluster-3490.0	2	4	6	4
Cluster-3491.0	2	4	3	5
Cluster-3492.0	1	6	4	3
Cluster-3493.0	1	1	3	7
Cluster-3494.0	2	6	2	4
Cluster-3495.0	1	0	9	3
Cluster-3496.0	1	5	10	8
Cluster-3497.0	1	3	11	4
Cluster-3498.0	2	5	2	3
Cluster-3499.0	1	6	4	4
Cluster-3500.0	2	1	4	6
Cluster-3501.0	1	7	5	2
Cluster-3502.0	1	3	6	5
Cluster-3503.0	2	1	8	1
Cluster-3504.0	5	2	7	4
Cluster-3505.0	1	4	12	11
Cluster-3506.0	1	3	5	5
Cluster-3507.0	1	3	2	7
Cluster-3508.0	2	4	5	3
Cluster-3509.0	1	3	6	8
Cluster-3510.0	1	0	9	3
Cluster-3511.0	1	3	7	2
Cluster-3512.0	1	6	11	5
Cluster-3513.0	2	1	5	7
Cluster-3514.0	2	5	9	9
Cluster-3515.0	1	0	4	8
Cluster-3516.0	2	5	4	3
Cluster-3517.0	1	5	8	5
Cluster-3518.0	1	1	7	3
Cluster-3519.0	1	5	2	3
Cluster-3520.0	2	4	7	4
Cluster-3521.0	1	2	7	3
Cluster-3522.0	6	12	16	21
Cluster-3523.0	2	3	4	5
Cluster-3524.0	3	8	9	11
Cluster-3525.0	1	6	5	7
Cluster-3526.0	2	5	3	4
Cluster-3527.0	2	1	7	2
Cluster-3528.0	1	5	6	3
Cluster-3529.0	2	7	6	5
Cluster-3530.0	1	2	8	1
Cluster-3531.0	1	2	3	7
Cluster-3532.0	2	0	8	3
Cluster-3533.0	1	4	7	6
Cluster-3534.0	3	4	8	11
Cluster-3535.0	1	3	13	4
Cluster-3536.0	2	5	8	10
Cluster-3537.0	2	3	9	6
Cluster-3538.0	2	7	4	2
Cluster-3539.0	1	2	7	4
Cluster-3540.0	1	5	7	3
Cluster-3541.0	1	5	8	6
Cluster-3542.0	2	4	11	9
Cluster-3543.0	1	7	3	8
Cluster-3544.0	4	1	7	4
Cluster-3545.0	2	3	5	1
Cluster-3546.0	1	2	5	7
Cluster-3547.0	1	3	4	4
Cluster-3548.0	1	7	7	7
Cluster-3549.0	1	3	6	2
Cluster-3550.0	1	2	5	3
Cluster-3551.0	1	0	7	6
Cluster-3552.0	2	3	4	2
Cluster-3553.0	2	7	10	4
Cluster-3554.0	5	5	11	16
Cluster-3555.0	1183	1052	1587	1420
Cluster-3555.1	3	10	11	9
Cluster-3556.0	1	5	8	2
Cluster-3557.0	3	2	7	1
Cluster-3558.0	1	3	5	3
Cluster-3559.0	2	2	6	3
Cluster-3560.0	2	3	5	7
Cluster-3561.0	2	2	15	12
Cluster-3562.0	1	3	7	2
Cluster-3563.0	1	3	5	3
Cluster-3564.0	1	2	5	4
Cluster-3565.0	3	4	5	11
Cluster-3566.0	4	3	2	3
Cluster-3567.0	2	7	6	6
Cluster-3568.0	1	2	8	13
Cluster-3569.0	2	4	7	8
Cluster-3570.0	1	1	9	1
Cluster-3571.0	1	7	10	10
Cluster-3572.0	3	3	5	8
Cluster-3573.0	1	2	6	11
Cluster-3574.0	3	1	10	3
Cluster-3575.0	3	5	5	2
Cluster-3576.0	3	2	5	2
Cluster-3577.0	1	3	3	5
Cluster-3578.0	3	12	9	5
Cluster-3579.0	1	0	3	7
Cluster-3580.0	2	12	11	7
Cluster-3581.0	1	4	6	2
Cluster-3582.0	1	1	3	6
Cluster-3583.0	1	2	9	4
Cluster-3584.0	2	5	2	6
Cluster-3585.0	3	6	10	5
Cluster-3586.0	2	1	3	6
Cluster-3587.0	8	5	13	14
Cluster-3588.0	1	5	1	6
Cluster-3589.0	1	4	4	7
Cluster-3590.0	1	1	13	10
Cluster-3591.0	1	2	6	3
Cluster-3592.0	1	6	11	2
Cluster-3593.0	1	1	3	6
Cluster-3594.0	2	1	1	7
Cluster-3595.0	2	3	8	1
Cluster-3596.0	2	2	3	6
Cluster-3597.0	1	7	7	4
Cluster-3598.0	2	1	6	3
Cluster-3599.0	2	1	7	3
Cluster-3600.0	2	5	3	2
Cluster-3601.0	1	4	4	2
Cluster-3602.0	2	2	5	4
Cluster-3603.0	1	8	19	25
Cluster-3604.0	1	4	11	6
Cluster-3605.0	2	6	4	6
Cluster-3606.0	1	10	7	2
Cluster-3607.0	1	7	2	6
Cluster-3608.0	1	2	5	5
Cluster-3609.0	3	2	2	7
Cluster-3610.0	1	3	6	9
Cluster-3611.0	1	3	3	5
Cluster-3612.0	1	6	2	3
Cluster-3613.0	2	6	1	2
Cluster-3614.0	2	3	12	1
Cluster-3615.0	1	4	5	2
Cluster-3616.0	2	2	9	9
Cluster-3617.0	3	2	7	6
Cluster-3618.0	1	5	4	8
Cluster-3619.0	6	7	9	9
Cluster-3620.0	1	3	11	12
Cluster-3621.0	1	5	2	4
Cluster-3622.0	3	1	8	10
Cluster-3623.0	2	6	8	2
Cluster-3624.0	1	2	6	2
Cluster-3625.0	1	4	5	3
Cluster-3625.1	1	1	5	3
Cluster-3626.0	2	4	10	6
Cluster-3627.0	2	5	7	8
Cluster-3628.0	2	1	4	7
Cluster-3629.0	2	0	9	4
Cluster-3630.0	2	10	16	18
Cluster-3631.0	1	1	4	5
Cluster-3632.0	1	2	3	6
Cluster-3633.0	2	2	9	2
Cluster-3634.0	3	2	11	10
Cluster-3635.0	1	8	5	6
Cluster-3636.0	3	4	8	7
Cluster-3637.0	1	1	9	6
Cluster-3638.0	3	4	4	2
Cluster-3639.0	2	4	9	14
Cluster-3640.0	1	0	9	6
Cluster-3641.0	1	6	2	4
Cluster-3642.0	2	1	2	6
Cluster-3643.0	1	5	6	4
Cluster-3644.0	2	2	7	4
Cluster-3645.0	1	7	2	3
Cluster-3646.0	3	2	9	5
Cluster-3647.0	2	4	6	3
Cluster-3648.0	2	4	3	3
Cluster-3649.0	3	4	10	6
Cluster-3650.0	1	2	5	8
Cluster-3651.0	1	3	13	9
Cluster-3652.0	5	9	1	8
Cluster-3653.0	1	2	5	3
Cluster-3654.0	2	4	6	3
Cluster-3655.0	2	4	4	3
Cluster-3656.0	1	1	7	3
Cluster-3657.0	3	6	3	4
Cluster-3658.0	1	1	8	4
Cluster-3659.0	3	4	2	6
Cluster-3660.0	1	1	11	6
Cluster-3661.0	3	2	2	5
Cluster-3662.0	4	2	5	5
Cluster-3663.0	3	6	3	4
Cluster-3664.0	2	2	8	5
Cluster-3665.0	1	2	7	2
Cluster-3666.0	1	4	2	6
Cluster-3667.0	3	3	6	1
Cluster-3668.0	3	4	9	6
Cluster-3669.0	1	4	4	3
Cluster-3670.0	1	4	7	6
Cluster-3671.0	1	3	3	7
Cluster-3672.0	3	2	4	4
Cluster-3673.0	4	2	6	5
Cluster-3674.0	3	4	6	7
Cluster-3675.0	4	3	7	13
Cluster-3676.0	1	5	4	6
Cluster-3677.0	1	2	7	4
Cluster-3678.0	3	1	6	2
Cluster-3679.0	1	3	5	6
Cluster-3680.0	1	2	3	5
Cluster-3681.0	2	2	6	2
Cluster-3682.0	3	2	3	18
Cluster-3683.0	1	2	3	6
Cluster-3684.0	1	4	4	4
Cluster-3685.0	4	3	2	3
Cluster-3686.0	1	3	1	7
Cluster-3687.0	1	1	3	3
Cluster-3687.1	1	3	3	2
Cluster-3688.0	1	4	9	3
Cluster-3689.0	1	2	5	4
Cluster-3690.0	3	4	12	7
Cluster-3691.0	1	0	14	3
Cluster-3692.0	1	1	5	4
Cluster-3693.0	2	2	1	7
Cluster-3694.0	2	4	15	10
Cluster-3695.0	2	5	8	3
Cluster-3696.0	5	3	3	8
Cluster-3697.0	2	2	4	3
Cluster-3698.0	1	1	9	5
Cluster-3699.0	1	3	9	5
Cluster-3700.0	1	2	5	4
Cluster-3701.0	3	1	10	7
Cluster-3702.0	1	2	6	5
Cluster-3703.0	2	0	4	9
Cluster-3704.0	3	4	9	8
Cluster-3705.0	2	3	4	5
Cluster-3706.0	2	3	4	7
Cluster-3707.0	1	4	2	4
Cluster-3708.0	1	1	4	5
Cluster-3709.0	1	3	6	9
Cluster-3710.0	2	9	12	5
Cluster-3711.0	5	7	11	13
Cluster-3712.0	1	1	7	2
Cluster-3713.0	2	8	4	8
Cluster-3714.0	8	6	15	24
Cluster-3715.0	3	6	8	5
Cluster-3716.0	2	2	4	4
Cluster-3717.0	32	39	54	54
Cluster-3718.0	2	6	17	10
Cluster-3719.0	1	1	7	5
Cluster-3720.0	1	4	2	6
Cluster-3721.0	1	2	4	4
Cluster-3722.0	1	4	7	13
Cluster-3722.1	9	7	8	12
Cluster-3723.0	3	5	3	7
Cluster-3724.0	1	3	5	3
Cluster-3725.0	2	3	8	0
Cluster-3726.0	3	4	4	11
Cluster-3727.0	2	2	5	5
Cluster-3728.0	2	1	6	6
Cluster-3729.0	3	1	9	0
Cluster-3730.0	5	6	7	4
Cluster-3731.0	2	4	0	5
Cluster-3732.0	1	3	6	4
Cluster-3733.0	2	2	4	7
Cluster-3734.0	1	5	5	7
Cluster-3735.0	5	1	12	5
Cluster-3736.0	3	3	3	2
Cluster-3737.0	4	2	7	4
Cluster-3738.0	1	4	3	10
Cluster-3739.0	1	2	7	9
Cluster-3740.0	2	7	1	3
Cluster-3741.0	1	4	8	2
Cluster-3742.0	1	2	6	2
Cluster-3743.0	2	2	3	5
Cluster-3744.0	2	3	6	8
Cluster-3745.0	5	8	11	8
Cluster-3745.1	186	181	169	155
Cluster-3746.0	2	1	6	4
Cluster-3747.0	7	8	11	20
Cluster-3748.0	2	6	8	9
Cluster-3749.0	1	4	3	4
Cluster-3750.0	2	4	6	2
Cluster-3751.0	3	8	4	6
Cluster-3752.0	1	3	4	3
Cluster-3753.0	3	7	8	6
Cluster-3754.0	1	4	6	5
Cluster-3755.0	1	3	6	8
Cluster-3756.0	4	3	6	10
Cluster-3757.0	1	1	5	8
Cluster-3758.0	1	4	5	5
Cluster-3759.0	1	2	5	5
Cluster-3760.0	1	3	2	5
Cluster-3761.0	2	0	4	5
Cluster-3762.0	3	6	7	9
Cluster-3763.0	2	14	0	2
Cluster-3764.0	1	7	3	1
Cluster-3765.0	2	4	7	7
Cluster-3766.0	1	3	10	7
Cluster-3767.0	1	3	7	4
Cluster-3768.0	2	6	5	3
Cluster-3769.0	2	3	20	6
Cluster-3770.0	3	1	6	6
Cluster-3771.0	2	1	9	11
Cluster-3772.0	2	0	3	3
Cluster-3772.1	1	3	4	2
Cluster-3773.0	4	1	3	4
Cluster-3774.0	1	2	7	3
Cluster-3775.0	1	1	3	9
Cluster-3776.0	2	1	10	4
Cluster-3777.0	1	2	10	7
Cluster-3778.0	1	1	8	1
Cluster-3779.0	2	0	6	3
Cluster-3780.0	3	0	6	3
Cluster-3780.1	4	2	4	3
Cluster-3781.0	1	4	3	3
Cluster-3782.0	2	1	3	5
Cluster-3783.0	1	1	6	4
Cluster-3784.0	3	6	8	11
Cluster-3785.0	5	8	7	2
Cluster-3786.0	2	4	4	4
Cluster-3787.0	2	7	14	9
Cluster-3788.0	2	5	13	10
Cluster-3789.0	2	4	11	4
Cluster-3790.0	2	1	4	4
Cluster-3791.0	2	1	3	6
Cluster-3792.0	2	3	5	2
Cluster-3793.0	2	9	3	2
Cluster-3794.0	5	1	6	11
Cluster-3795.0	3	5	6	3
Cluster-3796.0	3	4	14	11
Cluster-3797.0	3	0	18	8
Cluster-3798.0	1	2	6	4
Cluster-3799.0	1	4	2	5
Cluster-3800.0	2	4	8	12
Cluster-3801.0	1	2	6	3
Cluster-3802.0	2	1	6	3
Cluster-3803.0	3	1	5	4
Cluster-3804.0	1	1	8	5
Cluster-3805.0	2	6	15	5
Cluster-3806.0	1	3	6	2
Cluster-3807.0	3	3	11	5
Cluster-3808.0	5	7	2	6
Cluster-3809.0	1	4	2	4
Cluster-3810.0	1	1	7	4
Cluster-3811.0	1	3	8	4
Cluster-3812.0	9	3	5	10
Cluster-3813.0	1	5	2	4
Cluster-3814.0	3	2	2	5
Cluster-3815.0	1	1	6	3
Cluster-3816.0	1	1	5	6
Cluster-3817.0	2	4	14	5
Cluster-3818.0	6	7	20	10
Cluster-3819.0	1	5	1	5
Cluster-3820.0	2	2	2	7
Cluster-3821.0	2	4	8	3
Cluster-3822.0	1	1	2	7
Cluster-3823.0	1	4	4	4
Cluster-3824.0	1	0	5	7
Cluster-3825.0	2	3	7	5
Cluster-3826.0	3	3	2	3
Cluster-3827.0	2	2	6	1
Cluster-3828.0	1	5	7	17
Cluster-3829.0	3	0	5	3
Cluster-3830.0	2	8	6	5
Cluster-3831.0	1	3	4	6
Cluster-3832.0	2	3	3	5
Cluster-3833.0	5	10	15	10
Cluster-3834.0	3	2	5	4
Cluster-3835.0	2	0	6	5
Cluster-3836.0	1	5	5	4
Cluster-3837.0	12	17	20	14
Cluster-3838.0	2	1	5	3
Cluster-3839.0	2	4	6	2
Cluster-3840.0	2	1	5	3
Cluster-3841.0	1	2	17	11
Cluster-3842.0	4	3	9	7
Cluster-3843.0	3	3	4	5
Cluster-3843.1	0	2	5	2
Cluster-3843.2	14	5	13	11
Cluster-3844.0	14	23	22	11
Cluster-3845.0	3	0	3	7
Cluster-3846.0	1	2	7	2
Cluster-3847.0	2	2	7	2
Cluster-3848.0	1	3	3	4
Cluster-3849.0	2	2	7	6
Cluster-3850.0	2	0	8	3
Cluster-3851.0	2	4	7	9
Cluster-3852.0	1	2	7	2
Cluster-3853.0	1	2	6	3
Cluster-3854.0	2	3	7	3
Cluster-3855.0	12	15	18	10
Cluster-3856.0	1	2	4	4
Cluster-3857.0	3	4	4	7
Cluster-3858.0	2	3	3	4
Cluster-3859.0	3	1	5	11
Cluster-3860.0	2	3	3	3
Cluster-3861.0	5	1	7	8
Cluster-3862.0	1	3	3	5
Cluster-3863.0	2	1	6	2
Cluster-3864.0	2	3	12	3
Cluster-3865.0	1	2	4	8
Cluster-3866.0	3	3	8	2
Cluster-3867.0	2	3	7	11
Cluster-3868.0	4	9	7	7
Cluster-3869.0	5	1	7	6
Cluster-3870.0	1	3	9	4
Cluster-3871.0	1	3	5	4
Cluster-3872.0	3	1	3	4
Cluster-3873.0	2	5	10	9
Cluster-3874.0	2	2	3	4
Cluster-3875.0	1	5	4	5
Cluster-3876.0	1	4	3	3
Cluster-3877.0	2	2	4	4
Cluster-3878.0	5	0	3	3
Cluster-3879.0	1	3	10	3
Cluster-3880.0	2	3	11	2
Cluster-3881.0	1	2	7	3
Cluster-3882.0	1	3	4	7
Cluster-3883.0	2	0	2	8
Cluster-3884.0	3	3	11	6
Cluster-3885.0	3	2	3	6
Cluster-3886.0	1	0	9	7
Cluster-3887.0	1	3	5	5
Cluster-3888.0	3	3	6	3
Cluster-3889.0	1	4	5	6
Cluster-3890.0	1	3	3	6
Cluster-3891.0	3	2	8	1
Cluster-3892.0	1	5	5	7
Cluster-3893.0	2	3	6	6
Cluster-3894.0	1	4	6	3
Cluster-3895.0	1	1	5	4
Cluster-3896.0	2	5	3	3
Cluster-3897.0	2	0	3	6
Cluster-3898.0	1	4	4	8
Cluster-3899.0	1	2	4	4
Cluster-3900.0	1	3	8	5
Cluster-3901.0	2	1	4	4
Cluster-3902.0	5	3	10	7
Cluster-3903.0	1	0	7	5
Cluster-3904.0	1	12	5	7
Cluster-3905.0	2	0	7	3
Cluster-3906.0	2	2	4	5
Cluster-3907.0	2	2	8	7
Cluster-3908.0	1	2	9	4
Cluster-3909.0	2	6	5	10
Cluster-3910.0	2	3	5	4
Cluster-3911.0	1	5	1	7
Cluster-3912.0	2	2	2	8
Cluster-3913.0	1	3	4	8
Cluster-3914.0	2	3	9	6
Cluster-3915.0	1	6	3	6
Cluster-3916.0	1	5	6	3
Cluster-3917.0	2	1	7	2
Cluster-3918.0	2	3	7	3
Cluster-3919.0	3	3	6	9
Cluster-3920.0	10	5	8	8
Cluster-3921.0	2	1	5	3
Cluster-3922.0	6	4	8	6
Cluster-3923.0	1	1	3	12
Cluster-3924.0	1	7	2	3
Cluster-3925.0	127	115	176	140
Cluster-3925.1	14	15	18	15
Cluster-3926.0	4	4	16	11
Cluster-3927.0	1	0	4	11
Cluster-3928.0	7	16	21	10
Cluster-3929.0	9	2	12	7
Cluster-3930.0	2	1	6	2
Cluster-3931.0	2	4	1	6
Cluster-3932.0	1	6	8	2
Cluster-3933.0	2	2	8	13
Cluster-3934.0	3	4	8	9
Cluster-3935.0	2	1	3	5
Cluster-3936.0	335	363	449	411
Cluster-3937.0	3	4	0	4
Cluster-3938.0	1	3	9	3
Cluster-3939.0	4	3	9	2
Cluster-3940.0	1	0	2	8
Cluster-3941.0	2	1	5	4
Cluster-3942.0	1	2	11	1
Cluster-3943.0	1	2	9	1
Cluster-3944.0	1	0	12	9
Cluster-3944.1	0	1	3	11
Cluster-3945.0	17	24	39	23
Cluster-3946.0	2	1	4	5
Cluster-3947.0	1	1	7	4
Cluster-3948.0	2	2	4	9
Cluster-3949.0	1	1	7	2
Cluster-3950.0	2	0	8	7
Cluster-3951.0	4	3	5	0
Cluster-3952.0	4	3	5	9
Cluster-3953.0	1	4	3	7
Cluster-3954.0	1	3	4	7
Cluster-3955.0	1	1	7	7
Cluster-3956.0	1	4	4	2
Cluster-3957.0	3	8	6	8
Cluster-3958.0	1	2	5	6
Cluster-3959.0	1	2	4	6
Cluster-3960.0	1	5	2	6
Cluster-3961.0	0	8	5	3
Cluster-3961.1	7	5	3	7
Cluster-3962.0	2	6	8	1
Cluster-3963.0	1	2	4	6
Cluster-3964.0	1	2	6	8
Cluster-3965.0	1	1	6	5
Cluster-3966.0	3	6	4	2
Cluster-3967.0	2	1	4	4
Cluster-3968.0	2	0	6	3
Cluster-3969.0	2	5	13	9
Cluster-3970.0	1	1	4	5
Cluster-3971.0	9	9	18	15
Cluster-3972.0	3	3	5	3
Cluster-3973.0	2	11	2	3
Cluster-3974.0	12	24	40	55
Cluster-3974.1	2	1	4	18
Cluster-3974.2	8	10	11	19
Cluster-3975.0	2	7	19	13
Cluster-3976.0	1	1	6	3
Cluster-3977.0	1	3	5	3
Cluster-3978.0	1	1	6	4
Cluster-3979.0	2	2	2	5
Cluster-3980.0	2	5	3	4
Cluster-3981.0	1	0	5	3
Cluster-3981.1	4	1	5	6
Cluster-3982.0	2	2	6	3
Cluster-3983.0	5	11	7	7
Cluster-3984.0	2	3	6	3
Cluster-3985.0	4	3	5	1
Cluster-3986.0	1	6	4	5
Cluster-3987.0	1	5	3	4
Cluster-3988.0	2	2	5	3
Cluster-3989.0	1	1	7	8
Cluster-3990.0	3	4	4	5
Cluster-3991.0	2	0	6	4
Cluster-3992.0	1	2	6	3
Cluster-3993.0	11	5	6	1
Cluster-3993.1	2	9	4	5
Cluster-3994.0	5	5	9	5
Cluster-3995.0	31	14	19	17
Cluster-3995.1	8	3	10	5
Cluster-3996.0	1	3	5	5
Cluster-3997.0	2	1	2	7
Cluster-3998.0	1	1	7	4
Cluster-3999.0	2	2	9	5
Cluster-4000.0	3	2	10	5
Cluster-4001.0	1	2	8	8
Cluster-4002.0	1	4	3	8
Cluster-4003.0	3	2	4	4
Cluster-4004.0	2	2	4	4
Cluster-4005.0	1	4	7	2
Cluster-4006.0	1	2	6	5
Cluster-4007.0	2	4	6	3
Cluster-4008.0	1	1	5	6
Cluster-4009.0	1	2	5	4
Cluster-4010.0	1	4	6	1
Cluster-4011.0	2	1	4	8
Cluster-4012.0	1	2	6	5
Cluster-4013.0	1	2	4	6
Cluster-4014.0	4	4	5	2
Cluster-4015.0	2	3	10	2
Cluster-4016.0	3	2	2	7
Cluster-4017.0	2	4	3	3
Cluster-4018.0	2	2	6	3
Cluster-4019.0	1	3	8	4
Cluster-4020.0	1	2	3	7
Cluster-4021.0	2	3	6	5
Cluster-4022.0	6	4	16	14
Cluster-4023.0	8	3	24	7
Cluster-4024.0	2	4	7	4
Cluster-4025.0	2	2	12	5
Cluster-4026.0	5	6	12	9
Cluster-4027.0	2	4	4	4
Cluster-4028.0	1	4	6	3
Cluster-4029.0	2	1	13	7
Cluster-4030.0	1	4	3	3
Cluster-4031.0	1	1	8	3
Cluster-4032.0	2	3	2	4
Cluster-4033.0	1	0	7	4
Cluster-4034.0	1	5	12	6
Cluster-4035.0	1	1	8	3
Cluster-4036.0	1	0	10	1
Cluster-4037.0	2	0	8	7
Cluster-4038.0	2	4	4	1
Cluster-4039.0	4	10	11	6
Cluster-4039.1	3	2	5	6
Cluster-4040.0	2	2	5	5
Cluster-4041.0	1	6	1	3
Cluster-4042.0	1	3	6	2
Cluster-4043.0	2	6	10	6
Cluster-4044.0	3	3	8	1
Cluster-4045.0	1	3	2	6
Cluster-4046.0	1	0	6	4
Cluster-4047.0	2	5	4	7
Cluster-4048.0	1	2	8	3
Cluster-4049.0	10	6	27	16
Cluster-4050.0	2	6	6	6
Cluster-4051.0	3	3	3	3
Cluster-4052.0	1	3	5	5
Cluster-4053.0	2	0	7	3
Cluster-4054.0	2	1	6	4
Cluster-4055.0	39	34	51	54
Cluster-4056.0	3	3	6	4
Cluster-4057.0	2	1	6	3
Cluster-4058.0	4	0	7	2
Cluster-4059.0	2	5	8	3
Cluster-4060.0	11	5	17	20
Cluster-4061.0	1	2	7	5
Cluster-4062.0	3	2	1	5
Cluster-4062.1	1	2	8	9
Cluster-4063.0	1	2	5	5
Cluster-4064.0	2	4	4	5
Cluster-4065.0	2	6	1	6
Cluster-4066.0	2	0	7	4
Cluster-4067.0	4	1	6	9
Cluster-4068.0	1	3	4	6
Cluster-4069.0	5	1	3	6
Cluster-4070.0	2	1	3	6
Cluster-4071.0	1	2	7	1
Cluster-4072.0	1	3	6	7
Cluster-4073.0	1	5	7	5
Cluster-4074.0	2	1	10	11
Cluster-4075.0	2	1	4	7
Cluster-4076.0	2	2	6	5
